record_id,scope,source_archive,relative_path,size_bytes,sha256,duplicate_group,canonical_record,material_state,notes
HIST-0001,project_library_selection,,historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK(1).md,12063,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,DUP-0130,HIST-0002,materialized,
HIST-0002,project_library_selection,,historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md,12063,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,DUP-0130,HIST-0002,materialized,
HIST-0003,project_library_selection,,historical_sources/DESIGN-LAB V2 云端项目全量架构审计、产品重规划与重构迁移任务包,58804,b9b29f363322914e12dd3d011b4c3857bd887dc53a021f89e871e0c8448c74f0,,,materialized,
HIST-0004,project_library_selection,,historical_sources/DESIGN-LAB-COMPLETE-REPAIR-AND-MIGRATION-PLAN-2026-09-04.md,49647,4c5a26ecc0e9fe8c89cb2ceef126aec2767bc39a45a39fd94bc6625d767a6910,DUP-0068,HIST-0004,materialized,
HIST-0005,project_library_selection,,historical_sources/DESIGN-LAB-DIRECTORY-MIGRATION-CLEANUP-TASKPACK-2026-09-01.md,17504,15660e0806f65b30b6256a6617149813ab77873148e3456a75f86ce0bce976f0,,,materialized,
HIST-0006,project_library_selection,,historical_sources/DESIGN-LAB-FINAL-TASKPACK-2026-08-25.md,30290,052eae492b4d7ef79c769c7db84f1cb8cdd37a9bcca8225ebbc920e7bc44e9f1,,,materialized,
HIST-0007,project_library_selection,,historical_sources/DESIGN-LAB-FULL-PRODUCT-AND-MIGRATION-TASKPACK-2026-08-13.md,30695,e3dd5a7161f4c99348aace867ea566a124baa26f98eb1ed75f0a4db25c4d3612,,,materialized,
HIST-0008,project_library_selection,,historical_sources/DESIGN-LAB-MINIMAX-DESIGN-INTEGRATION-AUDIT-2026-09-02(1).md,22395,c1006b7c2379e813903c2334c0f547865cfd7c6b4b3b719db820cee60a01b82b,DUP-0170,HIST-0535,materialized,
HIST-0009,project_library_selection,,historical_sources/DESIGN-LAB-MINIMAX-DESIGN-INTEGRATION-AUDIT-2026-09-02.md,22395,c1006b7c2379e813903c2334c0f547865cfd7c6b4b3b719db820cee60a01b82b,DUP-0170,HIST-0535,materialized,
HIST-0010,project_library_selection,,historical_sources/DESIGN-LAB-NEW-CHAT-HANDOFF-2026-09-02(1).md,15927,e735b1ec5bd8456e345a2dcaeff7bd48abaee4bf7e7aad025345e2d59b652264,DUP-0206,HIST-0536,materialized,
HIST-0011,project_library_selection,,historical_sources/DESIGN-LAB-NEW-CHAT-HANDOFF-2026-09-02.md,15927,e735b1ec5bd8456e345a2dcaeff7bd48abaee4bf7e7aad025345e2d59b652264,DUP-0206,HIST-0536,materialized,
HIST-0012,project_library_selection,,historical_sources/DESIGN-LAB-Project-Identity-Architecture-Migration-TaskPack-2026-08-13.md,22579,2d9bb5860fc3d7757663b16774e107b45ae3982e413fa30ddc907087d4f5ba96,DUP-0037,HIST-0012,materialized,
