occurrence_key,original_id,occurrence_kind,source_sha256,source_record_ids,source_paths,conversation_id,source_heading,locator,occurrence_ordinal,context_sha256,context,collision_group,disposition,current_targets,candidate_targets,mapping_confidence,dispatchable,notes
ece15eaa8becff57471ffca1064bcf5ced892813bf59bd74d5686d62a175a444,DL-000,TASK_DEFINITION,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,HIST-0001|HIST-0002|HIST-0037,cross_project_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK(1).md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md,null,DL-000 — 当前事实、dirty 与生成状态修复,line:48:col:5,1,273c0c91977b17e816a23115f82ab54bd3d495588a788fd8394e8b4d6992c8aa,### DL-000 — 当前事实、dirty 与生成状态修复,,SUPERSEDED_WITH_SCOPE_PRESERVED,DL-TP-R0-001|DL-TP-R1-002|DL-TP-R1-003,,HIGH,false,manually reconciled scope
cb9ef9bc5e3f6c678274478d4b4afc672d9ed339ff1d7d79e89bb069f1b706b7,DL-000,TASK_REFERENCE,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,HIST-0001|HIST-0002|HIST-0037,cross_project_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK(1).md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md,null,DL-010 — 活动指令与 SSOT 连续性,line:58:col:6,1,4572b9c8d87c746ea029f2df1aa4477410eb829e7d6822f0319908a16f4e1731,- 依赖：DL-000。,,SUPERSEDED_WITH_SCOPE_PRESERVED,DL-TP-R0-001|DL-TP-R1-002|DL-TP-R1-003,,HIGH,false,manually reconciled scope
5f7488206d13b1210e67e641447a113fabad75f6383d9b807fd36a0746fdf151,DL-000,TASK_REFERENCE,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,HIST-0001|HIST-0002|HIST-0037,cross_project_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK(1).md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md,null,DL-020 — Open Design 当前版本 live requalification,line:67:col:6,1,c728f7c2b9c71e65b511b57aea6c0262c66e06c5363b41cc4c8d7faef35d4bb1,- 依赖：DL-000、DL-010。,,SUPERSEDED_WITH_SCOPE_PRESERVED,DL-TP-R0-001|DL-TP-R1-002|DL-TP-R1-003,,HIGH,false,manually reconciled scope
1ee9e99d3b4e56f50f54640dc1c2afdc00a1800496c2fd1f7dbd9eabd2ee4351,DL-000,TASK_REFERENCE,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,HIST-0001|HIST-0002|HIST-0037,cross_project_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK(1).md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md,null,DL-090 — 开源资产、能力库和隔离区减法审计,line:128:col:6,1,4572b9c8d87c746ea029f2df1aa4477410eb829e7d6822f0319908a16f4e1731,- 依赖：DL-000。,,SUPERSEDED_WITH_SCOPE_PRESERVED,DL-TP-R0-001|DL-TP-R1-002|DL-TP-R1-003,,HIGH,false,manually reconciled scope
7a9facb161b9ac9b591b76e4ac411210e76105ec4eba9d72a832ac062c3f4fdd,DL-001,RANGE_PLACEHOLDER,df78b7fe3b109f6d0fdc646147f5c37c476689acca53a816c3a58a959069c0cf,HIST-0017|HIST-0051,cross_project_sources/DESIGN-LAB完整项目对话与时间线汇报.md|historical_sources/DESIGN-LAB完整项目对话与时间线汇报.md,6a8312a2-9194-83ea-89e2-f7d33d70b252,2026-08-17T21:54:43.318575+08:00｜DESIGN-LAB项目相关开源 > DESIGN-LAB V1.0 正式产品设计文档,line:173928:col:12,1,9159d9d36dafe8bb7dd17182c6202a619805e8fa5db2e03779a3f835ec0f1153,11. 开发任务拆解（DL-001 ～ DL-xxx）,,HISTORICAL_ONLY,,,HIGH,false,non-dispatch document/range/context reference
b442a90ebaaecf403e229cb7eba222276effc0f5a3d86fd2b257b71df050a8e0,DL-001,RANGE_PLACEHOLDER,df78b7fe3b109f6d0fdc646147f5c37c476689acca53a816c3a58a959069c0cf,HIST-0017|HIST-0051,cross_project_sources/DESIGN-LAB完整项目对话与时间线汇报.md|historical_sources/DESIGN-LAB完整项目对话与时间线汇报.md,6a8312a2-9194-83ea-89e2-f7d33d70b252,2026-08-17T21:54:43.318575+08:00｜DESIGN-LAB项目相关开源 > 完整原始会话记录,line:186272:col:8407,1,8046cb8b1ec044eecbb47d9065aeaf7d1103228d59d10d54a0bde621c98b55c3,"究已经足够进入下一阶段。 下一步应该进入： # DESIGN-LAB V1.0 正式产品设计文档 包含： 1. 产品定位 2. 用户角色 3. 使用场景 4. UI/UX工作台设计 5. 页面结构 6. 数据库Schema 7. API设计 8. Plugin SDK设计 9. MCP规范 10. Agent Workflow设计 11. 开发任务拆解（DL-001 ～ DL-xxx） 这一步就是从研究进入真正开发规划。""",,HISTORICAL_ONLY,,,HIGH,false,non-dispatch document/range/context reference
49603eda7827c379316d0d6f62d94a0b04ec8d0fbdcba86c5e97a051f967749e,DL-010,TASK_DEFINITION,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,HIST-0001|HIST-0002|HIST-0037,cross_project_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK(1).md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md,null,DL-010 — 活动指令与 SSOT 连续性,line:55:col:5,1,0a2b412744a37d5415f3af503cc3253f3b5f394ecbe5d47f91a582bc5d72048a,### DL-010 — 活动指令与 SSOT 连续性,,SUPERSEDED_WITH_SCOPE_PRESERVED,DL-TP-R0-001|DL-TP-R1-002,,HIGH,false,manually reconciled scope
4149693cdd744f028f25c3ccf40046bcca1a202e137eae36e136f18d32fd8f5d,DL-010,TASK_REFERENCE,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,HIST-0001|HIST-0002|HIST-0037,cross_project_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK(1).md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md,null,DL-020 — Open Design 当前版本 live requalification,line:67:col:13,2,c728f7c2b9c71e65b511b57aea6c0262c66e06c5363b41cc4c8d7faef35d4bb1,- 依赖：DL-000、DL-010。,,SUPERSEDED_WITH_SCOPE_PRESERVED,DL-TP-R0-001|DL-TP-R1-002,,HIGH,false,manually reconciled scope
45c83408820dab749f6cf3af053228c7b7d24cb9af92d1c8656c107dfab631cc,DL-010,TASK_REFERENCE,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,HIST-0001|HIST-0002|HIST-0037,cross_project_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK(1).md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md,null,DL-040 — CLI-Anything 创意工具 adapter 基座,line:85:col:6,1,873a40a9a0ed9483492b4067821e7392dd1c035e2452e676e487b6dd9877d39d,- 依赖：DL-010。,,SUPERSEDED_WITH_SCOPE_PRESERVED,DL-TP-R0-001|DL-TP-R1-002,,HIGH,false,manually reconciled scope
d621247acc198162ff67998a5e9ce3f64af10816b0a8f37b462d9e3ba4bce08f,DL-020,TASK_DEFINITION,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,HIST-0001|HIST-0002|HIST-0037,cross_project_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK(1).md|historical_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md,null,DL-020 — Open Design 当前版本 live requalification,line:64:col:5,1,1557dcdc75048d1a9293e63d277cb9dd2707e876a168a581a57a17f92dfb95dc,### DL-020 — Open Design 当前版本 live requalification,,REQUIRES_REQUALIFICATION,,DL-TP-R0-006|DL-TP-R0-007|DL-TP-R3-006|DL-TP-R3-013,HIGH,false,manually reconciled scope
