legacy_id,legacy_source,new_targets,disposition
T01,2026-09-05-multimodal-plan,R3-01|R3-03|R3-04,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T02,2026-09-05-multimodal-plan,R3-07|R3-08,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T03,2026-09-05-multimodal-plan,R3-11|R3-12,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T04,2026-09-05-multimodal-plan,R3-09|R3-10,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T05,2026-09-05-multimodal-plan,R3-05|R3-06|R3-07|R3-09|R3-10,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T06,2026-09-05-multimodal-plan,R3-08|R3-13,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T07,2026-09-05-multimodal-plan,R3-11|R3-12|R3-14,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T08,2026-09-05-multimodal-plan,R3-14,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T09,2026-09-05-multimodal-plan,R3-16,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T10,2026-09-05-multimodal-plan,R3-17,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T11,2026-09-05-multimodal-plan,R3-18,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T12,2026-09-05-multimodal-plan,R3-07|R3-19,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T13,2026-09-05-multimodal-plan,R3-20,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T14,2026-09-05-multimodal-plan,R3-21,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T15,2026-09-05-multimodal-plan,R3-22,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T16,2026-09-05-multimodal-plan,R3-23,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T17,2026-09-05-multimodal-plan,R3-09|R3-10|R3-15|R3-24,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
T18,2026-09-05-multimodal-plan,R3-01|R3-02|R3-03|R3-04|R3-09|R3-24,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
F01,2026-09-05-PR115-audit,R3-04,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
F02,2026-09-05-PR115-audit,R3-04,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
F03,2026-09-05-PR115-audit,R3-04|R3-05,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
F04,2026-09-05-PR115-audit,R3-04,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
F05,2026-09-05-PR115-audit,R3-04,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
F06,2026-09-05-PR115-audit,R3-02,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
F07,2026-09-05-PR115-audit,R3-04,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
F08,2026-09-05-PR115-audit,R3-04,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
F09,2026-09-05-PR115-audit,R3-01|R3-03,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
F10,2026-09-05-PR115-audit,R3-01|R3-24,SCOPE_PRESERVED; existing fixes retained; remaining work revalidated
