previous_id,new_id,disposition
DL-R4-001,DL-R5-001,incremental-reuse-not-reset
DL-R4-002,DL-R5-002,incremental-reuse-not-reset
DL-R4-003,DL-R5-003,incremental-reuse-not-reset
DL-R4-004,DL-R5-004,incremental-reuse-not-reset
DL-R4-005,DL-R5-005,incremental-reuse-not-reset
DL-R4-006,DL-R5-006,incremental-reuse-not-reset
DL-R4-007,DL-R5-007,incremental-reuse-not-reset
DL-R4-008,DL-R5-008,incremental-reuse-not-reset
DL-R4-009,DL-R5-009,incremental-reuse-not-reset
DL-R4-010,DL-R5-010,incremental-reuse-not-reset
DL-R4-011,DL-R5-011,incremental-reuse-not-reset
DL-R4-012,DL-R5-012,incremental-reuse-not-reset
DL-R4-013,DL-R5-013,incremental-reuse-not-reset
DL-R4-014,DL-R5-014,incremental-reuse-not-reset
DL-R4-015,DL-R5-015,incremental-reuse-not-reset
DL-R4-016,DL-R5-016,incremental-reuse-not-reset
DL-R4-017,DL-R5-017,incremental-reuse-not-reset
DL-R4-018,DL-R5-018,incremental-reuse-not-reset
DL-R4-019,DL-R5-019,incremental-reuse-not-reset
DL-R4-020,DL-R5-020,incremental-reuse-not-reset
DL-R4-021,DL-R5-021,incremental-reuse-not-reset
DL-R4-022,DL-R5-022,incremental-reuse-not-reset
DL-R4-023,DL-R5-023,incremental-reuse-not-reset
DL-R4-024,DL-R5-024,incremental-reuse-not-reset
DL-R4-025,DL-R5-025,incremental-reuse-not-reset
DL-R4-026,DL-R5-026,incremental-reuse-not-reset
DL-R4-027,DL-R5-027,incremental-reuse-not-reset
language-governance,DL-R5-028,explicit-workstream
